Username,location,friend_count,review_count,photo_count,rating,date,review
Hayder A.,"Pleasant Hill, CA",2,37,43,3.0,9/9/2014,"The food was ok, I ordered Jamaican Black Pepper With Chicken And Shrimp, it was very sweet that I couldn't finish the extras, however, the ambience was nice and the restaurant decoration feels kinda luxury, we were 4 and we ordered 4 main courses with water we paid 80$"
Doug G.,"Kodak, TN",10,98,,2.0,3/30/2014,"Ok... I love The Cheesecake Factory and have been to many through out the country.  It was my birthday and I thought I would give the one in WC a try,  My Mother and Father In-law where in town so this seemed like a good choice for dinner.             Let me start by saying the food was outstanding.  The problem was with service... We orders three beers, coke and an appetizer first.  The appetizer got to the table and was half eaten before the drinks arrived.  Now appetizer is completely eaten and drink half gone before our waiter comes to get our order for our entrées.  Our entrees arrive in timely order carried by two ""food runners"" and auctioned off at the table.  you know how it goes "" who had the pasta who had the salad""  and of course the guys were served first. Man I hate that, it is so easy to know who had what and how to serve food in a nice restaurant.  The entrée was outstanding,,, very good... Now we are done eating and waiting for our server.........and waiting....... He gets there and we order some cheesecake to go, because we have been there over 2 hours now, and a we need half a pizza boxed to take home.  We got the pizza back and then waited..... and waited....waited some more... Finally we get cheesecake and check. Hey, at least they were quick about taking our money.  Ok... to give the waiter some credit he was triple sat and he was running his behind off.  So you have a host problem...  No a management problem...because we never did see a manager.... I will not be going back there!!!!!"
joan b.,"Walnut Creek, CA",0,115,,5.0,12/24/2014,"It seems that most people are reluctant to give this place five stars. I have only been to this place a few times. I have eaten at others in other parts of the state a few times also. It is a place I go to for a special occasion with family or friends as a treat or special occasion. I always enjoy it. The waiters work hard and aim to please. The menu items I have chosen and shared have been lovely. Of course, it is very kid-friendly, and I am as entranced with the decor as the children who accompany us on the special occasions."
Brenda H.,"Concord, CA",0,15,14,2.0,10/5/2015,"I went with my daughters here just to have a nice decent meal, fisrt they told us to wait 25 min we waited 35 we requested to seat outside for the moment it was ok them a gentlemen with a tattoo from military approach to our table telling. Us our servant was super busy but he was there to help , so he tooked our order for drinks one virgin margarita and virgin Daquri and I ask for a Sangria ..them another young lady came to our table and ask us for our drinks she looked surprised. Someone had help us with the drinks ..so she left and we waited for.our bread n butter .we had to ask for it ..then she tooked our order so we ordered our small plates meals witch was appetizers.  Then she bring me two drinks ..I asked for my Sangria she responded to me we ran out sorry and did not ask me if I wanted to order something else ao in told her can I get a skinny margarita ..so my drink was.late..our bread was late our food was delivered one by one with different waitress ..Our waitress never ask if we ok till last minutes. .I asked for water because she never offered us I saw other tables getting refills n didn't even.ask I got only one glass she didn't even ask my daughters if they will like water. .so food was.great but bad service !"
Andy L.,"Oakland, CA",0,1,,1.0,11/9/2014,"Never come here,  for any type of food besides pasta,  their twists on Asian cuisines are horrible.  I ordered the chicken Katsu and it's atrocious,  not saying all the dishes on the menu is deliberately bad,  but ordering something like chicken Katsu is strongly NOT recommended."
Lorena L.,"San Francisco, CA",216,40,176,5.0,4/25/2012,"Cheesecake Factory really came through for me like always but specially on my boyfriends birthday. The restaurant that we originally planned on having a birthday brunch cancelled 2 days before the event so needless to say I was stressed out because I had 20 people confirmed for brunch.  Paul the Manager at Cheesecake Factory in Walnut Creek took our reservation of 20 people. The day of the event, both our servers were very nice and also organized separate tabs for everyone. Of course, food and drinks are always amazing there. Everyone was so happy with the service and we got to celebrate the birthday with no problem."
Princess D.,"Alameda, CA",46,16,2,5.0,9/29/2014,I love the Cheesecake Factory. But tbh this is the best location so far I've been to. The one in sf has a beautiful view but in my opinion this location is the one I'll be going to. Beautiful location and great atmosphere.
A C.,"Phoenix, AZ",0,61,,4.0,5/20/2015,"Wednesday night and this place was busy but we were seated fairly quickly. We were first taken to this very small table for 2 that was really meant to be pushed together with an identical table to seat 4. We felt really awkward & asked to grab a seat at the bar. When your waitress can only take your order from BEHIND you...that should tell you something there. The tables were so close together they could not take our order or drop anything off on the side. It all came from the back. Long story short, we are at our new seat and everything from there is great. Service was a little slow but definitley not lacking in customer service. Everyone was nice. We grabbed some appetizers and cheesecake. A little pricey, $45(not including tip) for 2 appetizers, 2 slices of cheesecke and 2 fountain sodas. Nonetheless it was good."
Hayat D.,"West Oakland, Oakland, CA",0,5,1,5.0,9/27/2015,"WOOW this place is amazing, the food and desserts were perfection. The service was beyond excellent, didn't have to wait long and our waiter Timothy did a superb job. Thank you for the excellent service"
Danna C.,"Landenberg, PA",110,427,337,2.0,12/1/2010,"Went here today for a work holiday party. We had about a dozen items to choose from. I was torn between about 8 of them. I asked the waitress for her suggestion, and she suggested the portabella mushroom burger. It was good, not great. We had a choice of vanilla bean or strawberry cheesecake. I went with the vanilla bean. It was also good but not great."
Ashley F.,"San Francisco, CA",111,58,19,5.0,5/28/2014,"I love this place!! Even though its a chain, I'm never disappointed with the food. The passion iced tea is amazing! Just came here Monday and ordered the buffalo blasts, huuuuge portions! Very tasty. I tried the eggplant and roasted red pepper sandwich. Oh my god, it was amazing!! I'm always scared to venture out and try new things cause i don't wanna be disappointed but i did and it was awesome!"
