Username,location,friend_count,review_count,photo_count,rating,date,review
Sharon R.,"West Hartford, CT",21,13,,2.0,2/1/2014,"Overrated, unhealthy, always a long wait. They should just sell cheesecake, their cheesecake is amazing!"
K L.,"Norristown, PA",95,135,191,4.0,11/18/2013,"It can be a long wait to be seated (and get food), especially without being able to make a reservation. The menu is extensive and has something for everyone. The food comes in large portions so I take the other half back or share my entree with someone else. The cheesecakes are delicious."
Nicole D.,"Bristol, CT",341,1543,221,5.0,12/31/2010,"I. LOVE. The Cheesecake Factory!! Be prepared to take some time reading the menu... it's 230498230948 pages long!!! Yet somehow the wait staff seem to have the whole thing memorized. The portions are HUGE, the service is great, and if you somehow manage to have room left for dessert.....the cheesecake menu is impossible to pass up. SO many options, all of which seem to be wonderful. The Sunday brunch (10am-2pm) is also great - huge portions, and you don't have a wait - every time I've gone I've been able to walk right in and sit down! LOVE this place!!"
Ph B.,"West Hartford, CT",5,55,1,1.0,2/1/2011,The food is boring and not very good. What I have tasted seemed like it was cooked sometime ago (in a universe far away?) and then warmed up. The decor is not to my taste at all.  Have only been when it was someone else's choice.
Kim M.,"Avon, CT",1,47,,4.0,10/1/2011,"The Cheesecake Factory is a more upscale American restaurant. THE POSITIVES: Food- Delicious! I love the Chicken and Pasta Entrees! The appetizers (hello macaroni and cheese balls?!) are superb Variety- SO MUCH FOOD! There are so many things on the menu I just want to order it all! Location- Located conveniently in Blue Back Square Decor- I love it! It's like modern Egyptian mixed with just a modern and classy feel THE NEGATIVES: Price- It can get pricey just warning you. I  think cheesecake can go for about $15 a slice and entrees range from about $15 (salad) - $40 (seafood or something) Service- It isn't horrible but it isn't great Seating- I was at my friend's birthday dinner and the 8 of us were sharing a big round booth but it was very tight I thought.  Waiting- This used to be worse when it first opened but sometimes you have to wait a very long time before you are seated. Portion- Now, I don't know why people complain about portion size. You get sooo much food! I would rather get extra food to take home rather than not enough food! YAY FOOD! Overall The Cheesecake Factory is delicious and I wish I went there more often! - Kim :)"
Pete E.,"Torrington, CT",23,207,52,4.0,6/5/2009,"We thought it was good! As chain restaurants go, there is a degree of mediocrity to be expected, but this place surpassed my presumptions. The wait staff was friendly and service was prompt. The food was rather good, actually, if not a bit over-indulgent. They even managed to muster up a pretty decent Caipirinha upon request (!), which is literally a first in my drink-ordering experience in this state. I'm lucky if I don't get a raised eyebrow over a Mojito at some places... Sit outside, order their massive appetizer sampler and embarrass your accompanying diner with an inconspicuous slip to the host(ess) that it's their birthday. It'll be an enjoyable setting and a throwaway excuse for a drink before five."
Megan R.,"Rocky Hill, CT",72,149,243,2.0,4/6/2011,"The Cheesecake Factory is a place that I usually avoid.  My friend organized a ladies night out, and this was the spot, so of course I found street parking after a couple drives around the block and went on in. Upon arriving, I realized that I was the first one, so I left my name with the hostess and went to the bar to wait. The bartender was very nice, and offered menus while I waited. I bypassed the cocktail list, and ordered a Bombay Sapphire gimlet. I didn't look at the cocktail list because I assumed the high priced drinks would have been filled with fancy fruit juices.  Well, my gimlet was delicious, and $12.75. The ladies arrived and we were brought to a big round table for the six of us. We were chatting and having a blast, but I did notice the long gaps between seeing a server, getting our waters, then getting a drink order, and so on. I was set with my drink, but the other girls were waiting for a good amount of time. The server, was very nice, explained to us that the menu was about 20 pages and overwhelming to most.  In my opinion, diners should be the only restaurants with that much menu. The only thing 150 menu items makes me think is how much of it has been frozen in the back for a month? Plus, most everything is overpriced.  We decided to order a bunch of small plates (not appetizers, those were on page 8) and share everything.  Now, don't get me wrong, get a bunch of female friends together, give them each a drink, and stick 10 plates of food in front of them, everything is going to get eaten. But to be honest, nothing stood out so much that I can even remember specific items that we enjoyed! I know the Ahi Tuna Tartare was not too bad, and I also like the fried artichokes. There was a avocado spring roll (?) that we like also. As for dessert, we went for a Reese's Chocolate Cheesecake and Oreo Cheesecake to share.  I had an awesome time with the girls, and the staff at The Cheesecake Factory were very nice and professional, but I probably won't go back just for dinner, or recommend. I might order cheesecake to take home, though."
Jim T.,"Chicago, IL",7,85,,4.0,8/18/2013,"Located in a cool spot in West Hartford. Typical Cheesecake Factory fare - better, if not the best, among national chains. Servers were all cool and very attentive. Will definitely be back -  Thanks!"
Ray V.,"Queens, NY",103,279,369,4.0,3/12/2010,"We decided to go to Cheesecake Factory with a bunch of my friends. Got there, put our name in and waited about 45 mins to get a table. I said to myself, ""This better be worth it"". Let me start my review by telling you that my server, Jen, is the most attentive and friendly server I've ever met in this part of the Northeast chain restaurant. I wanted her to quit her job and work for me as my female butler. Anyway ... Ordered a mojito to start the meal. It was OK, not the 'real"" mojito I get back in NYC but it's drinkable. Wouldn't recommend it though. For appetizers we ordered the Buffalo blast, spinach and cheese dip, and avocado egg roll. They all came out great, especially the avocado egg roll. Creamy avocado and crispy egg roll skin. Definitely recommend it. For dinner, I ordered the Steak Diane and Chicken Madeira combination (served with mashed potatoes). I was told by the waitress that you can substitute mashed potatoes with steamed veggies if you want to cut down on the carb. The steak are little medallions of juicy and delicious meat. It comes in medium rare like I ordered so that's another thumbs up. I'm not too excited about the chicken, it was rather bland for me. To end this gluttony fest, I ordered a Key Lime cheesecake. Sweet and sour key lime taste ended my dinner with a smile and the conviction that Cheesecake Factory is unbelievable good and taught me not to doubt chain restaurants."
Anthony L.,"Hartford, CT",2,70,2,4.0,11/29/2010,"I recently went on a Saturday afternoon with some friends.  This wasn't my first time there but my friends have never been so we gave it a try.  We got there 30 minutes after they opened and was seated immediately.  We decided to order a bunch of small plates and appetizers so that we could save room for dessert. We started with the Dynamite Tempura Shrimp.  The shrimp was small but tasty.  Next was the Stuffed Mushrooms.  They were very good.  Next we tried the Fried Zucchini.  I was hoping they would be similar to Eggplant Fries like they have at Joey Garlics but not the case.  They were OK but nothing special.  We also had the Vietnamese Tacos.  It's basically a take on the Chinese roast pork bun (char siu bao) served in the same type of bun that usually accompanies Peking Duck along with some pickled vegetables.  It was decent.  The final small plate that we ordered was a Wild Mushroom Pizzette.  They're basically flat breads (pizzas).  They tasted good but I thought that the crust should have been a lot crispier.  All the small plates were a decent size, basically the size that you would normally receive as appetizers from other restaurants and priced similarly. We also ordered two appetizers, the Thai Lettuce Wraps and Hot Spinach and Cheese Dip.  First of all their appetizers are huge, the size of entrées at many other restaurants.  They cost a bit more but that is to be expected given the portion size.  The Spinach Dip was accompanied by a huge portion of nacho chips.  They were tasty.  The Thai Lettuce Wraps were also very good. For dessert we ordered the Ultimate Red Velvet Cake Cheesecake and the Tiramisu Cheesecake.  They were both ultra rich and both really tasty. For a chain restaurant, the Cheesecake Factory does a good job.  I've always enjoyed my experience.  The food has always been tasty every time I've went, the portions are huge and a good bang for your buck.  Service has always been attentive and helpful.  The only issue I've ever had is how ridiculous waiting times for a table can be."
