Username,location,friend_count,review_count,photo_count,rating,date,review
Raymond W.,"Queens, NY",3,76,7,4.0,7/26/2014,great food. great cheesecakes. great service. ordered the chicken bellagio-it was very delicious. don't order from lunch menu though! portions are not as worth it.
Kevon G.,"Rosedale, NY",30,52,20,4.0,3/27/2012,"Great ambiance and variety of food. Some what of an upscale Resturant for any occasion. I've been here plenty of times for lunch, dinner, birthdays, graduations any type of celebration. Great appetizers. Fried calamari and avocado spring rolls are a must have. Entrees are usually heaping portions of made to order food. Love the pasta dishes has well. And of course the best dish for last...dessert. Wide variety and seasonal variety of cheesecakes and cakes. I love the carrot cake and pineapple cheesecake. Only con the wait time on the weekend is sometimes long and a pain. But overall great chain Resturant."
Stephanie S.,"Westbury, NY",3,8,,5.0,10/31/2015,Everyone knows the Cheesecake Factory is great but what is even better is that they now have VEGAN options including the most amazing Vegan Cobb Salad. Yay!
Brianna K.,"Brooklyn, NY",199,236,314,5.0,3/25/2014,I threw my dad a birthday party here. Rented out half of the floor on the 2nd floor. The servers were on point. The food is amazing.  Huge plates!!! I always come out here with my family. I love this place. Thanks for doing my dad birthday party right
Christian B.,"Freeport, NY",170,212,97,3.0,7/11/2012,"Can't believe I've forgotten to write a review on this place.  Over the years since it has opened I've come here. I've tried many of their dishes. I was here just the other night with a friend. Jumped on yelp to update a review I thought I had written previously (I fail) lol...We ordered Avocado Egg Rolls, Chicken Madeira, Fresh Grilled Salmon, Fresh Strawberry Shortcake, Pineapple Upside-Down Cheesecake, and of course their famous bread. Oh that bread, I like the brown pumpernickel bread. I'm not a huge fan of the sourdough one. You can't just have 1 piece of it. The Avocado Egg Rolls were YummY. (Avocado is known as a super food, FYI) with the sauce that came with it. I prefer having the Chicken Marsala dish over the Chicken Madeira. The sauce on the Chicken Madeira was great. Although I'm sure you would be happy with either of those 2 chicken dishes. Their Shepherd's Pie is also really good. My friend enjoyed the Salmon dish. The mash potatoes that came with both dishes were really good but wow so heavy. To drink we decided water with a lemon was good enough. The sweet drinks here are way too sweet and I personally just didn't feel like drinking any alcohol so... Before I used to get their strawberry lemonade drink. Its non-alcoholic but yeah that hit the spot. My friend said the Cheesecake was really good. My Strawberry Shortcake was OK, I enjoyed the ice cream that came with it. I've had better. The downside to this place is their food is just all SO RICH. Forget about calorie counting here. If you are actually counting calories this is not the place you should be at all. Sure it tastes good but now I""m probably going to spend the next 2 weeks picking up my cardio at the gym just to burn off what I ate here recently. The decor is nice. The food is just so Rich. Their portion sizes are pretty big. Oh, I also really enjoy their salads too (didn't wanna forget that). This is worth visiting at least once. I'm sure you'll return again. This is a place I personally may only come once or twice a year at most and that's only if a friend really wanted to go here. Just because the food was again SO RICH lol..."
K K.,"BAYSIDE HILLS, NY",3,26,20,4.0,9/2/2014,"In reference to the curbside pick up order - when we got home I noticed that the food was not the same quantity you get in house.  I ordered a chicken caesar salad and it usually comes with at least 2 thin grilled chicken breasts where this one was one small one  (""where's the chicken?"") - which I thought may have been a mistake till we opened the Chicken and biscuits and found one breast instead of two.  It felt like we were scammed, especially since this place is well known for ridiculously large portion sizes.  CF should only be dine in and for that it is still 4 stars, the staff handles the large amount of diners well and I am not reducing my stars - but beware the curbside take out!  Same price WAY LESS!"
Amy B.,"Murrieta, CA",49,38,30,5.0,11/12/2012,"I absolutely LOVE this place. Besides having the most awesome cheesecake in the world. their food is incredible! The wait is not bad.. on occasion it can be 30-45mins or so, but they seat pretty quick. On a rare occasion the service can be so-so, but the food never disappoints! My favorite thing on the menu is the Sweet corn tamale cakes... it is 3 pattys of sweet corn with chopped avocado, drizzled sour cream, and a drizzled spice sauce. Also the Mac n cheese balls are great! They are so tasty. When we come here we get appetizers so we can save room for 1 of their 32 some odd cheesecakes! I would recommend this place to everyone! Run here!"
Natalie E.,"Queens Village, NY",171,193,3,4.0,11/12/2013,Always a fan of this wonder chain restaurant. Portions are large enough for seconds and even 3rd meals. Prices are decent and always fresh and new options added to the menu. One thing that bothers me is dinner time and weekends are crazy!!!! The wait is always an hour and so ridiculous but that's why you should go for lunch or on an off day ! :)
Vana W.,"Brooklyn, NY",4,44,14,5.0,8/30/2014,Was there yesterday afternoon for lunch at it was AWESOME! Service was quick and friendly. Had the Fish Tacos (yum) and hubby had a mac n cheese burger (he said yum too). portions are HUGE! Couldn't finish it. We shared a strawberry shortcake that was enough for 4! Really great also.
Wolf G.,"Delray Beach, FL",272,228,185,4.0,12/28/2014,"After going here with my friend last week for dinner, I could certainly say that based on my experience, The Cheesecake Factory is one of the better chain restaurants I have been to due to the high food quality, good value, and great service. We arrived here for dinner at 8:00PM, where we were greeted by a friendly hostess on the second floor of the restaurant who took our names and promised to have us seated in a booth. Ten minutes later, we were seated in one of the back rooms in a window facing the inside of The Source Mall, which was very comfortable. In addition, I found the decor to be somewhat upscale, with bright yellow colors on the walls and somewhat dim lighting. We then met our waiter, whose name I do not recall, but I remember he was tall and skinny with a goatee. We both felt that he was friendly, fast, and on point, not unlike my experiences with other servers at The Cheesecake Factory. After ordering beverages and perusing the textbook sized menu, with its many dishes as well as caloric land mines, I decided to order the Tuscan Chicken with a substitution of Mashed Potatoes for Farro due to my gluten allergies off of the Skinnylicious Menu while my friend ordered the Sandwich, Soup, and Salad Combo, which included a Turkey Sandwich, a Caesar Salad, and Corn Chowder. We received our food not much later and I enjoyed my Tuscan Chicken, which had two generously sized pieces of tender and juicy grilled chicken breasts drizzled in a sauce of pleasantly acidic yet sweet balsamic vinegar, a bite of basil, well-cooked and nutty asparagus, ripe and juicy tomatoes, and fluffy mashed potatoes. While I did not try my friends food, he enjoyed all of the components of his meal and I thought that his dishes looked well presented. As we were eating, we also received excellent service from Carlos, who cleared our dishes efficiently and with a smile. Since I still had a little stomach space and wanted dessert, I decided to order a bowl of Chocolate Ice Cream with whipped cream, as I am allergic to the eggs and wheat found in their other desserts, like their Cheesecake. I found the ice cream, which was a healthy portion of about three scoops, to be delicious as it had sweet and robust chocolate flavor with a creamy and cool texture. I also enjoyed the freshly made whipped cream, which was fluffy, creamy, and not overly sweet like commercially processed whipped cream. While this meal was not quite inexpensive, at a about a little bit over $40 for everything, I thought that the price was reasonable due to the high quality of the food and large portion sizes. Overall, I feel that The Cheesecake Factory is one of the better chain restaurants I have been to and I would definitely return again!"
