Username,location,friend_count,review_count,photo_count,rating,date,review
Alisia A.,"Westlake, OH",189,186,155,2.0,7/30/2015,"Eh, just eh. I'm not a huge fan of chain restaurants, I think they are too cookie cutter. Upon arrival, we had to wait 20 min for a table on a Wednesday evening at 8pm, strange I thought. We were seated at our booth and waited. We probably waited for a good 10-12 min before the server approached us. We ordered everything at once since we didn't want to keep waiting.  2 dirty martini's and a cosmo arrived to our table shortly after. Followed by our skinnylicious appetizers. Everything we had was OK. Nothing too bad but nothing too great either.  Their cheesecake on the other hand was delicious. I would just go back for the cheesecake!"
Teejay B.,"Brunswick, OH",126,181,200,2.0,7/17/2015,"If I could give two sets of stars, I would. Alas, since I cannot, The Cheesecake Factory shall receive a dreaded two star review. Better than one, but only just. I want to like the factory of cheesecake, I really do. The food is mediocre and overpriced, the tables are too close for comfort, and the service leaves something to be desired. I have been here on numerous occasions and my experience is always the same. Let's reflect on the most recent trip, shall we? I came here with my sister and niece for a girls day. I warned them of my experiences ahead of time but my niece was set on a giant slice of cheesecake. There is no talking a member of my family down when it comes to sweets... The new orange chicken dish was completely overpowering with orange flavor, and not in a good way. It left a bitter, syrupy taste...literally and figuratively. The Cajun chicken pasta was OK, but my sister had numerous pieces of gristle in her chicken and I found a tortilla chip in mine. I won't complain about a bonus chip, but I'm pretty sure it didn't belong there. After all that, they both agreed with my original statement, until the cheesecake came to the table... This is where the second set of stars would come in handy. The cheesecake is damn good. I mean, take home a slice of each and eat it everyday until it's gone, good. I have had better, but not by all that much. I would give the cheesecake a four star review. Creamy and rich with just enough of whatever makes it different...Oreo, raspberries, or whatever else. So in conclusion, The Cheesecake Factory should stick to that of it's name and leave the rest to someone else."
Tom K.,"Elyria, OH",99,17,,1.0,9/8/2016,"I've gone here now for the past two years. I'm guessing 8-10 visits. I go here because my best friend and his wife like to go here. The cheesecake is good. Expensive, but good.  But the food is not. I've tried a variety of items. The are rarely seasoned. They are dry. They lack taste. I tried the chicken and biscuits tonight. Terrible. Two flattened pieces of chicken with tasteless gravy on the plate. Two small muffin looking ""biscuits"" on the side. After salting this concoction three times I gave up.  Why is this place always busy? It must be the dessert because it sure isn't the food."
E H.,"Brunswick, OH",8,5,,2.0,2/28/2017,"I had the eggplant parmesan. It was terrible. Way too much garlic. The pasta that came with it was also disappointing. Very plain with a few herbs sprinkled in. My companion got the fish tacos. They were good. But the thing that I really hated was the way the seats were. We were a foot away from the next table and couldn't help but hear everything they were taking about. That seating arrangement was very popular at the trendy restaurants in the 1980's. I hated it then and I'm over it now.  We were planning on getting dessert, but couldn't wait to leave."
Jacque M.,"Northfield, OH",0,2,,5.0,2/20/2017,"Drinks were delicious, food was amazing, and our waiter Dan, was the best! Can't wait to go back and try more food, and I would even request Dan to be my waiter again."
Abbaron J.,"North Olmsted, OH",0,9,,5.0,1/15/2017,Great place to eat at. Amazing staff. Quick and definitely my favorite place for desert lol
Precious R.,"Cleveland, OH",149,108,136,5.0,8/6/2014,"This is my favorite chain restaurant. I have yet to have a bad meal here. The food & the service always stays consistent. I think you get your money's worth since I can never finish my whole meal. My favorite dish is the Chicken Katsu, the chicken is juicy & crispy. My second favorite dish is the Thai Chicken Lettuce Wraps, perfect dish if you want something light.  I prefer this location over the one in Legacy Village because the wait time isn't as long. During the weekend at the one in Legacy, I've wait anywhere from 1 hour to 1 hour & 30 mins which is insane."
Brandon D.,"Sheffield Lake, OH",0,8,,4.0,11/12/2016,"I love the chicken costoletta. The sautéed chicken and lemon sauce is perfect! Their chicken and biscuits is my other go-to. Enough for two meals. Their multigrain wheat goes great with either. The only issue I have with the restaurant and the reason they lose a star, in my opinion, is their seating. I can't stand how close they seat you to other patrons. You're essentially eating with strangers. I know they want to maximize available tables, but I do not want to have a date or private dinner with another party like 24 inches away. Especially if weak bladders are involved by your ""neighbors"". The obligatory crotch or butt in your face as they try to squeeze pass is not always appreciated when you're trying to enjoy your meal."
Linda C.,"Westlake, OH",4,103,12,2.0,3/12/2016,"Way too noisy.  Nothing special about this place.  Prices are moderate to moderately high and I have yet to eat anything here that sticks out in my mind as being wonderful.  As mentioned, the noise level during peak hours becomes deafening for my liking.  I can't think of any reason to eat here again.  I've eaten here several times in the past 2-3 years, and each time I think it's going to be really good, but it's not.  The bread they serve with the salads and meals is so boring, and although it looks like it might taste good, it's a huge disappointment."
Derek B.,"Birmingham, AL",151,121,73,4.0,6/25/2015,"I'm not big on chains but if you're going to go to a chain, I don't know of a better one to visit. The Salmon Genovese was delicious. And the service had been very good both times I've been to this location. Note the parking is free in the parking deck but not on the 'street' or in the back lot closest to the restaurant."
